,dep,title,author,published_date,degree,as.character.main_df.urls..i...
5,グローバル・スタディーズ研究科,Evolving from multicultural to intercultural education in the prospect of sustaining social cohesion in the Small Island Developing States : a case study of the education system in Mauritius,"Soobratty, Jabeen Bibi",2018-03-21,博士(グローバル社会研究),https://doors.doshisha.ac.jp/duar/repository/ir/26144/?opkey=R155258559831412&idx=6
6,グローバル・スタディーズ研究科,自問する沖縄戦後史,"古波藏, 契",2018-03-21,博士(現代アジア研究),https://doors.doshisha.ac.jp/duar/repository/ir/26145/?opkey=R155258559831412&idx=7
7,グローバル・スタディーズ研究科,明治末期における黄禍論批判 : 「反人種主義」の逆説,"李, 凱航",2018-03-21,博士(現代アジア研究),https://doors.doshisha.ac.jp/duar/repository/ir/26146/?opkey=R155258559831412&idx=8
8,グローバル・スタディーズ研究科,Ethnicity and federalism in Uganda : grassroots perceptions,"Ssali, Vick Lukwago",2017-09-20,博士(グローバル社会研究),https://doors.doshisha.ac.jp/duar/repository/ir/25768/?opkey=R155258559831412&idx=9
9,グローバル・スタディーズ研究科,戦後沖縄の基地と軍用地料問題 : 地域を内部から問う女性運動,"桐山, 節子",2017-09-20,博士(現代アジア研究),https://doors.doshisha.ac.jp/duar/repository/ir/25769/?opkey=R155258559831412&idx=10
10,グローバル・スタディーズ研究科,境界の歴史を語るということ : プラナカン・メスティーソ・琉球華僑,"安里, 陽子",2017-03-21,博士(現代アジア研究),https://doors.doshisha.ac.jp/duar/repository/ir/24790/?opkey=R155258559831412&idx=11
11,グローバル・スタディーズ研究科,国家統合におけるイスラーム教育の役割 : タイ深南部を事例として,"西, 直美",2017-03-21,博士(グローバル社会研究),https://doors.doshisha.ac.jp/duar/repository/ir/24791/?opkey=R155258559831412&idx=12
12,グローバル・スタディーズ研究科,中国の大都市における社会階層および階層移動に関する実証研究 : 天津市民アンケート調査に基づいた事例研究を中心に,"魏, 禕",2017-03-21,博士(現代アジア研究),https://doors.doshisha.ac.jp/duar/repository/ir/24792/?opkey=R155258559831412&idx=13
13,グローバル・スタディーズ研究科,Foreign direct investment and income inequality : poverty reduction and policy implications in Vietnam,"Trinh, Nam Hoai",2017-03-21,博士(グローバル社会研究),https://doors.doshisha.ac.jp/duar/repository/ir/24793/?opkey=R155258559831412&idx=14
14,グローバル・スタディーズ研究科,ルワンダ農村の飲料水供給をめぐる住民意識の考察 : ソーシャル・キャピタルとの関係性を中心に,"乾, 敏恵",2016-09-24,博士(グローバル社会研究),https://doors.doshisha.ac.jp/duar/repository/ir/23666/?opkey=R155258559831412&idx=15
15,グローバル・スタディーズ研究科,"Determinant factors of firm performances in the development of traditional industrial clusters in Herat City, Afghanistan : the application of M.E. Porter's diamond model from the social capital perspective","Valizadah, Parviz Ahmad",2016-09-24,博士(グローバル社会研究),https://doors.doshisha.ac.jp/duar/repository/ir/23667/?opkey=R155258559831412&idx=16
16,グローバル・スタディーズ研究科,高度人材のグローバル移動における国家の役割 : 知識集約型産業の拡大によるアメリカの高度人材に対する移民政策の立案過程の検証から,"手塚, 沙織",2016-03-21,博士(グローバル社会研究),https://doors.doshisha.ac.jp/duar/repository/ir/23040/?opkey=R155258559831412&idx=17
17,グローバル・スタディーズ研究科,A cautionary tale: neoliberal discourse and the pedagogic function of the mediated Lost Japan narrative during the financial crisis,"Bonnah, Theodore",2016-03-21,博士(グローバル社会研究),https://doors.doshisha.ac.jp/duar/repository/ir/23041/?opkey=R155258559831412&idx=18
18,グローバル・スタディーズ研究科,"The Japan hands : China's people's diplomacy towards Japan, 1949‐1972","Wits, Casper",2016-03-21,博士(現代アジア研究),https://doors.doshisha.ac.jp/duar/repository/ir/23042/?opkey=R155258559831412&idx=19
19,グローバル・スタディーズ研究科,"Democracy, land conflict and governance in Indonesia : a case study of land conflict in Lampung Province (2010-2012)","Susan, Novri",2016-03-03,博士(現代アジア研究),https://doors.doshisha.ac.jp/duar/repository/ir/23013/?opkey=R155258559831412&idx=20
20,グローバル・スタディーズ研究科,Observation of democratic decentralization in Indonesia during 2009-2014 : political dynasty in Banten Province and populism in Jakarta Province,"Hamid, Abdul",2015-09-26,博士(現代アジア研究),https://doors.doshisha.ac.jp/duar/repository/ir/22666/?opkey=R155258559831412&idx=21
21,グローバル・スタディーズ研究科,Navigating the soul of the Mavi Marmara : Muslim civil society in Turkey and its transnational role in Palestine,"Abu-Hajiar, Iyas Salim",2015-03-21,博士(グローバル社会研究),https://doors.doshisha.ac.jp/duar/repository/ir/17587/?opkey=R155258559831412&idx=22
22,グローバル・スタディーズ研究科,Politicization of religious and cultural identity in Kashmir conflict 1989-2011 : a case study of the Kashmir minority communities of Leh (Ladakh),"Mathew, Philip",2013-03-21,博士(グローバル社会研究),https://doors.doshisha.ac.jp/duar/repository/ir/17459/?opkey=R155258559831412&idx=23
23,グローバル・スタディーズ研究科,"Transnational labour migration and women's empowerment in Sri Lanka: a case study of migrant housemaids in Gangawata Korale, Kandy district","Handapangoda, Wasana Sampath",2011-03-21,博士(グローバル社会研究),https://doors.doshisha.ac.jp/duar/repository/ir/17330/?opkey=R155258559831412&idx=24
24,グローバル・スタディーズ研究科,Geographical identification method for human insecurity areas: a new conceptualization and approach to human security challenges,"Montiel Welti, Elisa",2011-03-21,博士(グローバル社会研究),https://doors.doshisha.ac.jp/duar/repository/ir/17331/?opkey=R155258559831412&idx=25
25,グローバル・スタディーズ研究科,Policies of genetically modified crops in India: food security and biosafety politics,"Racovita, Monica",2011-03-21,博士(グローバル社会研究),https://doors.doshisha.ac.jp/duar/repository/ir/17332/?opkey=R155258559831412&idx=26
26,スポーツ健康科学研究科,健常な高齢者における有酸素運動とレジスタンス運動による複合トレーニングの順序性に関する研究,"塩津, 陽子",2018-09-13,博士(スポーツ健康科学),https://doors.doshisha.ac.jp/duar/repository/ir/26360/?opkey=R155258561809510&idx=1
27,スポーツ健康科学研究科,思春期前期小児の日常生活における総エネルギー消費量と身体活動量との関連 : 二重標識水法および加速度計法を用いた検討,"香村, 恵介",2018-03-22,博士(スポーツ健康科学),https://doors.doshisha.ac.jp/duar/repository/ir/26169/?opkey=R155258561809510&idx=2
28,スポーツ健康科学研究科,Mechanisms of circadian regulation of exercise training-enhanced lipolysis in rat adipocytes,"加藤, 久詞",2016-03-22,博士(スポーツ健康科学),https://doors.doshisha.ac.jp/duar/repository/ir/23057/?opkey=R155258561809510&idx=3
29,商学研究科,統合生産システムの形成と機能 : 本田技研工業・二輪事業の事例,"横井, 克典",2018-03-21,博士(商学),https://doors.doshisha.ac.jp/duar/repository/ir/26132/?opkey=R155258562400561&idx=1
30,商学研究科,自律性マネジメントの研究,"鈴木, 智気",2018-03-21,博士(商学),https://doors.doshisha.ac.jp/duar/repository/ir/26133/?opkey=R155258562400561&idx=2
31,商学研究科,中国における旅游扶貧(Pro-Poor Tourism)戦略の研究,"柳, 霄",2018-03-21,博士(商学),https://doors.doshisha.ac.jp/duar/repository/ir/26134/?opkey=R155258562400561&idx=3
32,商学研究科,中国不動産市場の経済分析 : 中日米の国際的比較検証の視点から,"金, 静之",2017-03-21,博士(商学),https://doors.doshisha.ac.jp/duar/repository/ir/24788/?opkey=R155258562400561&idx=4
33,商学研究科,スマートフォンのバリュー・チェーン分析,"程, 培佳",2017-03-21,博士(商学),https://doors.doshisha.ac.jp/duar/repository/ir/24789/?opkey=R155258562400561&idx=5
34,商学研究科,インド家電市場における多国籍企業の競争戦略 : LG電子インド法人の現地化とグローバル統合化戦略の実証研究,"洪, 性奉",2015-03-21,博士(商学),https://doors.doshisha.ac.jp/duar/repository/ir/17574/?opkey=R155258562400561&idx=6
35,商学研究科,実験会計学序説 : 制度設計への役立ちを目指して,"廣瀬, 喜貴",2015-03-21,博士(商学),https://doors.doshisha.ac.jp/duar/repository/ir/17575/?opkey=R155258562400561&idx=7
36,商学研究科,オープン・イノベーション戦略と組織能力 : 研究開発組織の分化と統合,"中園, 宏幸",2015-03-21,博士(商学),https://doors.doshisha.ac.jp/duar/repository/ir/17576/?opkey=R155258562400561&idx=8
